VOO, 1609722840017888186, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017888186, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017888186, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017888186, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017888186, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017888186, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017888186, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722840017888186, 4@476.81 1@476.85 5@476.86 1@476.88 2@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722900103920167, 4@476.81 1@476.85 5@476.86 1@476.88 3@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722900104038026, 4@476.81 1@476.85 5@476.86 1@476.88 4@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722900104198080, 4@476.81 1@476.85 5@476.86 1@476.88 5@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
VOO, 1609722900105093623, 4@476.81 1@476.85 5@476.86 1@476.88 4@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, 476.99, 1
VOO, 1609722900109933571, 4@476.81 1@476.85 5@476.86 1@476.88 5@476.99 X 20@477.0 4@477.12 1@477.14 4@477.28 10@477.34, N.A, N.A
